source_excel_row,mineID,site,country_raw,roman_province_raw,region_raw,latitude_raw,longitude_raw,coordinate_in_broad_spain_envelope,include_spain_subset,selection_rule,selection_reason
900,1206,Río Sil 2: La Peña del Cuervo / O Subreiral,Spain,Hispania Tarraconensis,León,42.41558576,-6.83483159,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
901,1207,Río Sil 2: nr Covas,Spain,Hispania Tarraconensis,León,42.47086192,-6.822864394,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
902,1208,Río Sil 2: nr Sobredo,Spain,Hispania Tarraconensis,León,42.4285339,-6.822070367,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
903,1209,Río Sil 2: Quereño / Foi Pidriña,Spain,Hispania Tarraconensis,León,42.42564393,-6.82923019,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
904,1210,Río Sil 2: Río Cabrera / A Meana,Spain,Hispania Tarraconensis,León,42.41583965,-6.825115744,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
905,1211,Río Sil 2: Salas de Ribera / Valdefuentes,Spain,Hispania Tarraconensis,León,42.43778615,-6.812778588,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
906,1212,Río Sil 3: arroyo de Candis,Spain,Hispania Tarraconensis,Orense,42.41670161,-6.928519422,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
907,1213,Río Sil 3: Carbayal / La Portela,Spain,Hispania Tarraconensis,Orense,42.42577595,-7.025048543,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
908,1214,Río Sil 3: Corgormo / Arcos,Spain,Hispania Tarraconensis,Orense,42.42277251,-7.035842697,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
909,1215,Río Sil 3: Cortes,Spain,Hispania Tarraconensis,Orense,42.41011596,-6.971970294,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
910,1216,Río Sil 3: Entoma 1,Spain,Hispania Tarraconensis,Orense,42.42107013,-6.933598417,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
