mineID,technique_code,technique_name,source_column,source_raw_value,status,confirmed_present
1314,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1315,opencast,Opencast / surface,techniqueOpencast,,missing,
1316,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1317,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1318,opencast,Opencast / surface,techniqueOpencast,,missing,
1319,opencast,Opencast / surface,techniqueOpencast,,missing,
1320,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1321,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1322,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1323,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1324,opencast,Opencast / surface,techniqueOpencast,,missing,
1325,opencast,Opencast / surface,techniqueOpencast,,missing,
1326,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1327,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1328,opencast,Opencast / surface,techniqueOpencast,,missing,
1329,opencast,Opencast / surface,techniqueOpencast,,missing,
1330,opencast,Opencast / surface,techniqueOpencast,,missing,
1331,opencast,Opencast / surface,techniqueOpencast,,missing,
1332,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1333,opencast,Opencast / surface,techniqueOpencast,,missing,
1334,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1335,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1336,opencast,Opencast / surface,techniqueOpencast,,missing,
1337,opencast,Opencast / surface,techniqueOpencast,,missing,
1338,opencast,Opencast / surface,techniqueOpencast,,missing,
1339,opencast,Opencast / surface,techniqueOpencast,,missing,
1340,opencast,Opencast / surface,techniqueOpencast,,missing,
1341,opencast,Opencast / surface,techniqueOpencast,,missing,
1342,opencast,Opencast / surface,techniqueOpencast,,missing,
1343,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1344,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1345,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1346,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1347,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1348,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1349,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1350,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1351,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1352,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
